frequency	V(onoise)
3.917681190347766e+01	1.222406e-09
3.944930817973496e+01	1.222249e-09
3.972369981748204e+01	1.222094e-09
4.000000000000060e+01	1.221942e-09
4.027822200226937e+01	1.221792e-09
4.055837919160179e+01	1.221643e-09
4.084048502828836e+01	1.221497e-09
4.112455306624329e+01	1.221353e-09
4.141059695365574e+01	1.221211e-09
4.169863043364550e+01	1.221070e-09
4.198866734492335e+01	1.220932e-09
4.228072162245588e+01	1.220795e-09
4.257480729813507e+01	1.220661e-09
4.287093850145241e+01	1.220528e-09
4.316912946017778e+01	1.220397e-09
4.346939450104302e+01	1.220268e-09
4.377174805043028e+01	1.220140e-09
4.407620463506514e+01	1.220015e-09
4.438277888271452e+01	1.219891e-09
4.469148552288952e+01	1.219768e-09
4.500233938755311e+01	1.219648e-09
4.531535541183268e+01	1.219529e-09
4.563054863473769e+01	1.219411e-09
4.594793419988216e+01	1.219296e-09
4.626752735621226e+01	1.219181e-09
4.658934345873901e+01	1.219069e-09
4.691339796927593e+01	1.218958e-09
4.723970645718201e+01	1.218848e-09
4.756828460010964e+01	1.218740e-09
4.789914818475795e+01	1.218634e-09
4.823231310763124e+01	1.218528e-09
4.856779537580270e+01	1.218425e-09
4.890561110768358e+01	1.218322e-09
4.924577653379750e+01	1.218222e-09
4.958830799756031e+01	1.218122e-09
4.993322195606534e+01	1.218024e-09
5.028053498087401e+01	1.217927e-09
5.063026375881208e+01	1.217832e-09
5.098242509277138e+01	1.217738e-09
5.133703590251707e+01	1.217645e-09
5.169411322550061e+01	1.217553e-09
5.205367421767827e+01	1.217463e-09
5.241573615433547e+01	1.217374e-09
5.278031643091672e+01	1.217286e-09
5.314743256386142e+01	1.217199e-09
5.351710219144545e+01	1.217114e-09
5.388934307462859e+01	1.217030e-09
5.426417309790786e+01	1.216946e-09
5.464161027017682e+01	1.216864e-09
5.502167272559076e+01	1.216784e-09
5.540437872443801e+01	1.216704e-09
5.578974665401725e+01	1.216625e-09
5.617779502952093e+01	1.216547e-09
5.656854249492486e+01	1.216471e-09
5.696200782388394e+01	1.216395e-09
5.735820992063417e+01	1.216321e-09
5.775716782090093e+01	1.216248e-09
5.815890069281352e+01	1.216175e-09
5.856342783782613e+01	1.216104e-09
5.897076869164518e+01	1.216033e-09
5.938094282516310e+01	1.215964e-09
5.979396994539869e+01	1.215895e-09
6.020986989644385e+01	1.215828e-09
6.062866266041709e+01	1.215761e-09
6.105036835842355e+01	1.215695e-09
6.147500725152169e+01	1.215630e-09
6.190259974169680e+01	1.215566e-09
6.233316637284121e+01	1.215503e-09
6.276672783174129e+01	1.215441e-09
6.320330494907142e+01	1.215380e-09
6.364291870039475e+01	1.215319e-09
6.408559020717104e+01	1.215259e-09
6.453134073777139e+01	1.215200e-09
6.498019170850014e+01	1.215142e-09
6.543216468462380e+01	1.215085e-09
6.588728138140718e+01	1.215029e-09
6.634556366515667e+01	1.214973e-09
6.680703355427090e+01	1.214918e-09
6.727171322029854e+01	1.214864e-09
6.773962498900356e+01	1.214810e-09
6.821079134143794e+01	1.214758e-09
6.868523491502172e+01	1.214706e-09
6.916297850463066e+01	1.214654e-09
6.964404506369139e+01	1.214604e-09
7.012845770528429e+01	1.214554e-09
7.061623970325388e+01	1.214505e-09
7.110741449332713e+01	1.214456e-09
7.160200567423932e+01	1.214408e-09
7.210003700886796e+01	1.214361e-09
7.260153242537443e+01	1.214315e-09
7.310651601835362e+01	1.214269e-09
7.361501204999159e+01	1.214223e-09
7.412704495123127e+01	1.214179e-09
7.464263932294621e+01	1.214135e-09
7.516181993712257e+01	1.214091e-09
7.568461173804933e+01	1.214048e-09
7.621103984351666e+01	1.214006e-09
7.674112954602283e+01	1.213964e-09
7.727490631398935e+01	1.213923e-09
7.781239579298456e+01	1.213883e-09
7.835362380695588e+01	1.213843e-09
7.889861635947048e+01	1.213803e-09
7.944739963496464e+01	1.213764e-09
8.000000000000179e+01	1.213726e-09
8.055644400453932e+01	1.213688e-09
8.111675838320416e+01	1.213651e-09
8.168097005657731e+01	1.213614e-09
8.224910613248719e+01	1.213578e-09
8.282119390731208e+01	1.213542e-09
8.339726086729161e+01	1.213507e-09
8.397733468984730e+01	1.213472e-09
8.456144324491237e+01	1.213438e-09
8.514961459627075e+01	1.213404e-09
8.574187700290544e+01	1.213370e-09
8.633825892035618e+01	1.213337e-09
8.693878900208668e+01	1.213305e-09
8.754349610086122e+01	1.213273e-09
8.815240927013093e+01	1.213241e-09
8.876555776542969e+01	1.213210e-09
8.938297104577971e+01	1.213179e-09
9.000467877510688e+01	1.213149e-09
9.063071082366604e+01	1.213119e-09
9.126109726947605e+01	1.213090e-09
9.189586839976498e+01	1.213061e-09
9.253505471242519e+01	1.213032e-09
9.317868691747869e+01	1.213003e-09
9.382679593855255e+01	1.212976e-09
9.447941291436470e+01	1.212948e-09
9.513656920021998e+01	1.212921e-09
9.579829636951661e+01	1.212894e-09
9.646462621526317e+01	1.212868e-09
9.713559075160610e+01	1.212842e-09
9.781122221536786e+01	1.212816e-09
9.849155306759570e+01	1.212791e-09
9.917661599512135e+01	1.212766e-09
9.986644391213140e+01	1.212741e-09
1.005610699617487e+02	1.212717e-09
1.012605275176249e+02	1.212693e-09
1.019648501855435e+02	1.212669e-09
1.026740718050349e+02	1.212646e-09
1.033882264510020e+02	1.212623e-09
1.041073484353573e+02	1.212600e-09
1.048314723086717e+02	1.212578e-09
1.055606328618342e+02	1.212556e-09
1.062948651277236e+02	1.212534e-09
1.070342043828917e+02	1.212513e-09
1.077786861492579e+02	1.212491e-09
1.085283461958165e+02	1.212471e-09
1.092832205403544e+02	1.212450e-09
1.100433454511823e+02	1.212430e-09
1.108087574488768e+02	1.212410e-09
1.115794933080353e+02	1.212390e-09
1.123555900590427e+02	1.212371e-09
1.131370849898505e+02	1.212351e-09
1.139240156477687e+02	1.212332e-09
1.147164198412692e+02	1.212314e-09
1.155143356418027e+02	1.212295e-09
1.163178013856279e+02	1.212277e-09
1.171268556756531e+02	1.212259e-09
1.179415373832912e+02	1.212242e-09
1.187618856503270e+02	1.212224e-09
1.195879398907982e+02	1.212207e-09
1.204197397928886e+02	1.212190e-09
1.212573253208351e+02	1.212173e-09
1.221007367168480e+02	1.212157e-09
1.229500145030443e+02	1.212140e-09
1.238051994833945e+02	1.212124e-09
1.246663327456833e+02	1.212109e-09
1.255334556634835e+02	1.212093e-09
1.264066098981438e+02	1.212078e-09
1.272858374007904e+02	1.212062e-09
1.281711804143430e+02	1.212047e-09
1.290626814755437e+02	1.212033e-09
1.299603834170012e+02	1.212018e-09
1.308643293692486e+02	1.212004e-09
1.317745627628153e+02	1.211990e-09
1.326911273303143e+02	1.211976e-09
1.336140671085428e+02	1.211962e-09
1.345434264405980e+02	1.211948e-09
1.354792499780081e+02	1.211935e-09
1.364215826828768e+02	1.211922e-09
1.373704698300444e+02	1.211909e-09
1.383259570092623e+02	1.211896e-09
1.392880901273838e+02	1.211883e-09
1.402569154105695e+02	1.211871e-09
1.412324794065088e+02	1.211858e-09
1.422148289866552e+02	1.211846e-09
1.432040113484796e+02	1.211834e-09
1.442000740177369e+02	1.211822e-09
1.452030648507499e+02	1.211811e-09
1.462130320367083e+02	1.211799e-09
1.472300240999843e+02	1.211788e-09
1.482540899024636e+02	1.211777e-09
1.492852786458935e+02	1.211766e-09
1.503236398742462e+02	1.211755e-09
1.513692234760997e+02	1.211744e-09
1.524220796870344e+02	1.211733e-09
1.534822590920468e+02	1.211723e-09
1.545498126279798e+02	1.211713e-09
1.556247915859702e+02	1.211703e-09
1.567072476139129e+02	1.211693e-09
1.577972327189421e+02	1.211683e-09
1.588947992699304e+02	1.211673e-09
1.600000000000047e+02	1.211663e-09
1.611128880090798e+02	1.211654e-09
1.622335167664095e+02	1.211645e-09
1.633619401131558e+02	1.211635e-09
1.644982122649756e+02	1.211626e-09
1.656423878146254e+02	1.211617e-09
1.667945217345844e+02	1.211608e-09
1.679546693796958e+02	1.211600e-09
1.691228864898260e+02	1.211591e-09
1.702992291925427e+02	1.211583e-09
1.714837540058121e+02	1.211574e-09
1.726765178407136e+02	1.211566e-09
1.738775780041746e+02	1.211558e-09
1.750869922017237e+02	1.211550e-09
1.763048185402631e+02	1.211542e-09
1.775311155308606e+02	1.211534e-09
1.787659420915607e+02	1.211526e-09
1.800093575502150e+02	1.211519e-09
1.812614216473334e+02	1.211511e-09
1.825221945389534e+02	1.211504e-09
1.837917367995313e+02	1.211497e-09
1.850701094248518e+02	1.211489e-09
1.863573738349587e+02	1.211482e-09
1.876535918771065e+02	1.211475e-09
1.889588258287308e+02	1.211468e-09
1.902731384004413e+02	1.211462e-09
1.915965927390346e+02	1.211455e-09
1.929292524305278e+02	1.211448e-09
1.942711815032137e+02	1.211442e-09
1.956224444307372e+02	1.211436e-09
1.969831061351929e+02	1.211429e-09
1.983532319902442e+02	1.211423e-09
1.997328878242643e+02	1.211417e-09
2.011221399234990e+02	1.211411e-09
2.025210550352513e+02	1.211405e-09
2.039297003710885e+02	1.211399e-09
2.053481436100713e+02	1.211393e-09
2.067764529020055e+02	1.211387e-09
2.082146968707162e+02	1.211381e-09
2.096629446173450e+02	1.211376e-09
2.111212657236700e+02	1.211370e-09
2.125897302554488e+02	1.211365e-09
2.140684087657850e+02	1.211360e-09
2.155573722985176e+02	1.211354e-09
2.170566923916347e+02	1.211349e-09
2.185664410807105e+02	1.211344e-09
2.200866909023663e+02	1.211339e-09
2.216175148977553e+02	1.211334e-09
2.231589866160723e+02	1.211329e-09
2.247111801180871e+02	1.211324e-09
2.262741699797028e+02	1.211319e-09
2.278480312955392e+02	1.211314e-09
2.294328396825401e+02	1.211310e-09
2.310286712836072e+02	1.211305e-09
2.326356027712576e+02	1.211301e-09
2.342537113513080e+02	1.211296e-09
2.358830747665842e+02	1.211292e-09
2.375237713006560e+02	1.211287e-09
2.391758797815983e+02	1.211283e-09
2.408394795857790e+02	1.211279e-09
2.425146506416720e+02	1.211275e-09
2.442014734336979e+02	1.211270e-09
2.459000290060904e+02	1.211266e-09
2.476103989667909e+02	1.211262e-09
2.493326654913686e+02	1.211258e-09
2.510669113269689e+02	1.211255e-09
2.528132197962895e+02	1.211251e-09
2.545716748015828e+02	1.211247e-09
2.563423608286880e+02	1.211243e-09
2.581253629510895e+02	1.211239e-09
2.599207668340045e+02	1.211236e-09
2.617286587384992e+02	1.211232e-09
2.635491255256327e+02	1.211229e-09
2.653822546606307e+02	1.211225e-09
2.672281342170876e+02	1.211222e-09
2.690868528811982e+02	1.211218e-09
2.709584999560183e+02	1.211215e-09
2.728431653657559e+02	1.211212e-09
2.747409396600910e+02	1.211208e-09
2.766519140185267e+02	1.211205e-09
2.785761802547697e+02	1.211202e-09
2.805138308211413e+02	1.211199e-09
2.824649588130197e+02	1.211196e-09
2.844296579733127e+02	1.211193e-09
2.864080226969614e+02	1.211190e-09
2.884001480354760e+02	1.211187e-09
2.904061297015019e+02	1.211184e-09
2.924260640734187e+02	1.211181e-09
2.944600481999707e+02	1.211178e-09
2.965081798049295e+02	1.211175e-09
2.985705572917893e+02	1.211173e-09
3.006472797484948e+02	1.211170e-09
3.027384469522018e+02	1.211167e-09
3.048441593740712e+02	1.211165e-09
3.069645181840959e+02	1.211162e-09
3.090996252559620e+02	1.211159e-09
3.112495831719429e+02	1.211157e-09
3.134144952278282e+02	1.211154e-09
3.155944654378867e+02	1.211152e-09
3.177895985398633e+02	1.211149e-09
3.200000000000119e+02	1.211147e-09
3.222257760181620e+02	1.211145e-09
3.244670335328215e+02	1.211142e-09
3.267238802263141e+02	1.211140e-09
3.289964245299536e+02	1.211138e-09
3.312847756292533e+02	1.211135e-09
3.335890434691714e+02	1.211133e-09
3.359093387593942e+02	1.211131e-09
3.382457729796545e+02	1.211129e-09
3.405984583850881e+02	1.211127e-09
3.429675080116268e+02	1.211125e-09
3.453530356814298e+02	1.211123e-09
3.477551560083518e+02	1.211121e-09
3.501739844034500e+02	1.211119e-09
3.526096370805289e+02	1.211117e-09
3.550622310617240e+02	1.211115e-09
3.575318841831241e+02	1.211113e-09
3.600187151004328e+02	1.211111e-09
3.625228432946695e+02	1.211109e-09
3.650443890779096e+02	1.211107e-09
3.675834735990654e+02	1.211105e-09
3.701402188497063e+02	1.211103e-09
3.727147476699203e+02	1.211102e-09
3.753071837542158e+02	1.211100e-09
3.779176516574644e+02	1.211098e-09
3.805462768008856e+02	1.211096e-09
3.831931854780721e+02	1.211095e-09
3.858585048610584e+02	1.211093e-09
3.885423630064302e+02	1.211092e-09
3.912448888614772e+02	1.211090e-09
3.939662122703887e+02	1.211088e-09
3.967064639804913e+02	1.211087e-09
3.994657756485315e+02	1.211085e-09
4.022442798470009e+02	1.211084e-09
4.050421100705056e+02	1.211082e-09
4.078594007421800e+02	1.211081e-09
4.106962872201456e+02	1.211079e-09
4.135529058040140e+02	1.211078e-09
4.164293937414353e+02	1.211076e-09
4.193258892346930e+02	1.211075e-09
4.222425314473430e+02	1.211074e-09
4.251794605109007e+02	1.211072e-09
4.281368175315730e+02	1.211071e-09
4.311147445970382e+02	1.211070e-09
4.341133847832725e+02	1.211068e-09
4.371328821614242e+02	1.211067e-09
4.401733818047358e+02	1.211066e-09
4.432350297955138e+02	1.211064e-09
4.463179732321478e+02	1.211063e-09
4.494223602361773e+02	1.211062e-09
4.525483399594088e+02	1.211061e-09
4.556960625910815e+02	1.211060e-09
4.588656793650835e+02	1.211058e-09
4.620573425672176e+02	1.211057e-09
4.652712055425184e+02	1.211056e-09
4.685074227026194e+02	1.211055e-09
4.717661495331718e+02	1.211054e-09
4.750475426013153e+02	1.211053e-09
4.783517595632000e+02	1.211052e-09
4.816789591715614e+02	1.211051e-09
4.850293012833475e+02	1.211050e-09
4.884029468673992e+02	1.211048e-09
4.918000580121844e+02	1.211047e-09
4.952207979335853e+02	1.211046e-09
4.986653309827407e+02	1.211045e-09
5.021338226539414e+02	1.211044e-09
5.056264395925825e+02	1.211043e-09
5.091433496031693e+02	1.211043e-09
5.126847216573797e+02	1.211042e-09
5.162507259021826e+02	1.211041e-09
5.198415336680126e+02	1.211040e-09
5.234573174770020e+02	1.211039e-09
5.270982510512690e+02	1.211038e-09
5.307645093212651e+02	1.211037e-09
5.344562684341790e+02	1.211036e-09
5.381737057624001e+02	1.211035e-09
5.419169999120404e+02	1.211034e-09
5.456863307315156e+02	1.211034e-09
5.494818793201858e+02	1.211033e-09
5.533038280370573e+02	1.211032e-09
5.571523605095432e+02	1.211031e-09
5.610276616422864e+02	1.211030e-09
5.649299176260432e+02	1.211030e-09
5.688593159466293e+02	1.211029e-09
5.728160453939270e+02	1.211028e-09
5.768002960709562e+02	1.211028e-09
5.808122594030079e+02	1.211027e-09
5.848521281468416e+02	1.211026e-09
5.889200963999455e+02	1.211025e-09
5.930163596098630e+02	1.211025e-09
5.971411145835826e+02	1.211024e-09
6.012945594969937e+02	1.211023e-09
6.054768939044077e+02	1.211023e-09
6.096883187481465e+02	1.211022e-09
6.139290363681960e+02	1.211021e-09
6.181992505119281e+02	1.211021e-09
6.224991663438899e+02	1.211020e-09
6.268289904556606e+02	1.211019e-09
6.311889308757775e+02	1.211019e-09
6.355791970797309e+02	1.211018e-09
6.400000000000282e+02	1.211017e-09
6.444515520363285e+02	1.211017e-09
6.489340670656474e+02	1.211016e-09
6.534477604526327e+02	1.211016e-09
6.579928490599118e+02	1.211015e-09
6.625695512585111e+02	1.211014e-09
6.671780869383474e+02	1.211014e-09
6.718186775187930e+02	1.211013e-09
6.764915459593137e+02	1.211013e-09
6.811969167701809e+02	1.211012e-09
6.859350160232584e+02	1.211012e-09
6.907060713628645e+02	1.211011e-09
6.955103120167086e+02	1.211011e-09
7.003479688069050e+02	1.211010e-09
7.052192741610628e+02	1.211010e-09
7.101244621234530e+02	1.211009e-09
7.150637683662533e+02	1.211009e-09
7.200374302008707e+02	1.211008e-09
7.250456865893441e+02	1.211008e-09
7.300887781558243e+02	1.211007e-09
7.351669471981359e+02	1.211007e-09
7.402804376994177e+02	1.211006e-09
7.454294953398457e+02	1.211006e-09
7.506143675084368e+02	1.211005e-09
7.558353033149341e+02	1.211005e-09
7.610925536017764e+02	1.211005e-09
7.663863709561496e+02	1.211004e-09
7.717170097221222e+02	1.211004e-09
7.770847260128658e+02	1.211003e-09
7.824897777229600e+02	1.211003e-09
7.879324245407828e+02	1.211002e-09
7.934129279609881e+02	1.211002e-09
7.989315512970686e+02	1.211002e-09
8.044885596940074e+02	1.211001e-09
8.100842201410168e+02	1.211001e-09
8.157188014843657e+02	1.211000e-09
8.213925744402969e+02	1.211000e-09
8.271058116080336e+02	1.211000e-09
8.328587874828764e+02	1.210999e-09
8.386517784693917e+02	1.210999e-09
8.444850628946919e+02	1.210999e-09
8.503589210218073e+02	1.210998e-09
8.562736350631519e+02	1.210998e-09
8.622294891940824e+02	1.210998e-09
8.682267695665510e+02	1.210997e-09
8.742657643228545e+02	1.210997e-09
8.803467636094776e+02	1.210997e-09
8.864700595910339e+02	1.210996e-09
8.926359464643019e+02	1.210996e-09
8.988447204723610e+02	1.210996e-09
9.050966799188241e+02	1.210995e-09
9.113921251821695e+02	1.210995e-09
9.177313587301735e+02	1.210995e-09
9.241146851344419e+02	1.210994e-09
9.305424110850435e+02	1.210994e-09
9.370148454052454e+02	1.210994e-09
9.435322990663503e+02	1.210993e-09
9.500950852026374e+02	1.210993e-09
9.567035191264069e+02	1.210993e-09
9.633579183431298e+02	1.210993e-09
9.700586025667019e+02	1.210992e-09
9.768058937348054e+02	1.210992e-09
9.836001160243759e+02	1.210992e-09
9.904415958671780e+02	1.210991e-09
9.973306619654886e+02	1.210991e-09
1.004267645307890e+03	1.210991e-09
1.011252879185172e+03	1.210991e-09
1.018286699206346e+03	1.210990e-09
1.025369443314767e+03	1.210990e-09
1.032501451804372e+03	1.210990e-09
1.039683067336033e+03	1.210990e-09
1.046914634954011e+03	1.210989e-09
1.054196502102546e+03	1.210989e-09
1.061529018642538e+03	1.210989e-09
1.068912536868366e+03	1.210989e-09
1.076347411524808e+03	1.210988e-09
1.083833999824089e+03	1.210988e-09
1.091372661463039e+03	1.210988e-09
1.098963758640380e+03	1.210988e-09
1.106607656074123e+03	1.210988e-09
1.114304721019095e+03	1.210987e-09
1.122055323284582e+03	1.210987e-09
1.129859835252095e+03	1.210987e-09
1.137718631893267e+03	1.210987e-09
1.145632090787863e+03	1.210986e-09
1.153600592141921e+03	1.210986e-09
1.161624518806025e+03	1.210986e-09
1.169704256293692e+03	1.210986e-09
1.177840192799900e+03	1.210986e-09
1.186032719219735e+03	1.210985e-09
1.194282229167174e+03	1.210985e-09
1.202589118993996e+03	1.210985e-09
1.210953787808825e+03	1.210985e-09
1.219376637496302e+03	1.210985e-09
1.227858072736401e+03	1.210984e-09
1.236398501023866e+03	1.210984e-09
1.244998332687789e+03	1.210984e-09
1.253657980911331e+03	1.210984e-09
1.262377861751565e+03	1.210984e-09
1.271158394159472e+03	1.210984e-09
1.280000000000066e+03	1.210983e-09
1.288903104072667e+03	1.210983e-09
1.297868134131304e+03	1.210983e-09
1.306895520905275e+03	1.210983e-09
1.315985698119833e+03	1.210983e-09
1.325139102517032e+03	1.210982e-09
1.334356173876705e+03	1.210982e-09
1.343637355037596e+03	1.210982e-09
1.352983091918637e+03	1.210982e-09
1.362393833540372e+03	1.210982e-09
1.371870032046527e+03	1.210982e-09
1.381412142725739e+03	1.210981e-09
1.391020624033427e+03	1.210981e-09
1.400695937613820e+03	1.210981e-09
1.410438548322136e+03	1.210981e-09
1.420248924246916e+03	1.210981e-09
1.430127536732517e+03	1.210981e-09
1.440074860401752e+03	1.210981e-09
1.450091373178699e+03	1.210980e-09
1.460177556311660e+03	1.210980e-09
1.470333894396283e+03	1.210980e-09
1.480560875398847e+03	1.210980e-09
1.490858990679703e+03	1.210980e-09
1.501228735016885e+03	1.210980e-09
1.511670606629880e+03	1.210979e-09
1.522185107203564e+03	1.210979e-09
1.532772741912311e+03	1.210979e-09
1.543434019444256e+03	1.210979e-09
1.554169452025744e+03	1.210979e-09
1.564979555445932e+03	1.210979e-09
1.575864849081578e+03	1.210979e-09
1.586825855921988e+03	1.210979e-09
1.597863102594150e+03	1.210978e-09
1.608977119388027e+03	1.210978e-09
1.620168440282046e+03	1.210978e-09
